"filename", "language", "JSON", "TypeScript", "JavaScript", "Ignore", "JSON with Comments", "Prisma", "MS SQL", "comment", "blank", "total"
"/home/bibek/Projects/Rapid-Room/server/.prettierignore", "Ignore", 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"/home/bibek/Projects/Rapid-Room/server/.prettierrc", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/home/bibek/Projects/Rapid-Room/server/dist/app.d.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"/home/bibek/Projects/Rapid-Room/server/dist/app.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 11, 1, 75
"/home/bibek/Projects/Rapid-Room/server/dist/config/passport.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/config/passport.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 1, 1, 87
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addNewHotel.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addNewHotel.controller.js", "JavaScript", 0, 0, 97, 0, 0, 0, 0, 19, 1, 117
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addNewReview.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addNewReview.controller.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 6, 1, 76
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addWishlist.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/addWishlist.controller.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 1, 29
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_approveHost.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_approveHost.js", "JavaScript", 0, 0, 44, 0, 0, 0, 0, 2, 1, 47
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_approveHotel.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_approveHotel.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 2, 1, 52
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllHosts.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllHosts.js", "JavaScript", 0, 0, 80, 0, 0, 0, 0, 6, 1, 87
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllHotels.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllHotels.js", "JavaScript", 0, 0, 63, 0, 0, 0, 0, 1, 1, 65
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllPayments.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllPayments.js", "JavaScript", 0, 0, 62, 0, 0, 0, 0, 2, 1, 65
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllUsers.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAllUsers.js", "JavaScript", 0, 0, 57, 0, 0, 0, 0, 3, 1, 61
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAnalysis.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_getAnalysis.js", "JavaScript", 0, 0, 102, 0, 0, 0, 0, 3, 1, 106
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_paymentDashboard.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_paymentDashboard.js", "JavaScript", 0, 0, 51, 0, 0, 0, 0, 2, 1, 54
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_rejectHost.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 5, 1, 8
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_rejectHost.js", "JavaScript", 0, 0, 48, 0, 0, 0, 0, 7, 1, 56
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_rejectHotels.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/bibek/Projects/Rapid-Room/server/dist/controller/admin_rejectHotels.js", "JavaScript", 0, 0, 53, 0, 0, 0, 0, 2, 1, 56
"/home/bibek/Projects/Rapid-Room/server/dist/controller/cancelReservatin.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/cancelReservatin.controller.js", "JavaScript", 0, 0, 69, 0, 0, 0, 0, 15, 1, 85
"/home/bibek/Projects/Rapid-Room/server/dist/controller/createAdmin.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/createAdmin.controller.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 1, 51
"/home/bibek/Projects/Rapid-Room/server/dist/controller/createReview.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/createReview.controller.js", "JavaScript", 0, 0, 37, 0, 0, 0, 0, 2, 1, 40
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteHotel.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteHotel.controller.js", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 0, 1, 31
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteImage.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteImage.controller.js", "JavaScript", 0, 0, 31, 0, 0, 0, 0, 4, 1, 36
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteReview.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteReview.controller.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 7, 1, 73
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteUser.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/deleteUser.controller.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 1, 1, 51
"/home/bibek/Projects/Rapid-Room/server/dist/controller/editReview.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/editReview.controller.js", "JavaScript", 0, 0, 34, 0, 0, 0, 0, 0, 1, 35
"/home/bibek/Projects/Rapid-Room/server/dist/controller/editUser.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/editUser.controller.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 5, 1, 104
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getAllHotels.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getAllHotels.controller.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 0, 1, 61
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostAllReservations.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostAllReservations.controller.js", "JavaScript", 0, 0, 59, 0, 0, 0, 0, 1, 1, 61
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostEarnings.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostEarnings.controller.js", "JavaScript", 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostHotels.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostHotels.controller.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 2, 1, 67
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostStats.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostStats.controller.js", "JavaScript", 0, 0, 98, 0, 0, 0, 0, 0, 1, 99
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostTodayCheckin.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHostTodayCheckin.controller.js", "JavaScript", 0, 0, 112, 0, 0, 0, 0, 3, 1, 116
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHotelById.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getHotelById.controller.js", "JavaScript", 0, 0, 132, 0, 0, 0, 0, 1, 1, 134
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getMyBookings.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getMyBookings.controller.js", "JavaScript", 0, 0, 81, 0, 0, 0, 0, 0, 1, 82
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getOveralRating.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getOveralRating.controller.js", "JavaScript", 0, 0, 104, 0, 0, 0, 0, 5, 1, 110
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getRazorpayKey.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getRazorpayKey.controller.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getReview.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getReview.controller.js", "JavaScript", 0, 0, 85, 0, 0, 0, 0, 2, 1, 88
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getUserInformation.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getUserInformation.controller.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 1, 1, 60
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getWishlists.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/getWishlists.controller.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 1, 51
"/home/bibek/Projects/Rapid-Room/server/dist/controller/healthCheck.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/healthCheck.controller.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 1, 15
"/home/bibek/Projects/Rapid-Room/server/dist/controller/payment.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/payment.controller.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/home/bibek/Projects/Rapid-Room/server/dist/controller/paymentVerification.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/paymentVerification.controller.js", "JavaScript", 0, 0, 75, 0, 0, 0, 0, 11, 1, 87
"/home/bibek/Projects/Rapid-Room/server/dist/controller/publishHotel.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/publishHotel.controller.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 1, 40
"/home/bibek/Projects/Rapid-Room/server/dist/controller/removeWishlist.controller.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/controller/removeWishlist.controller.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 1, 26
"/home/bibek/Projects/Rapid-Room/server/dist/controller/reserveHotel.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/reserveHotel.controller.js", "JavaScript", 0, 0, 162, 0, 0, 0, 0, 36, 1, 199
"/home/bibek/Projects/Rapid-Room/server/dist/controller/sendOtp.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/sendOtp.controller.js", "JavaScript", 0, 0, 49, 0, 0, 0, 0, 9, 1, 59
"/home/bibek/Projects/Rapid-Room/server/dist/controller/setHostReservationpaymentStatusRefunded.controller.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/bibek/Projects/Rapid-Room/server/dist/controller/setHostReservationpaymentStatusRefunded.controller.js", "JavaScript", 0, 0, 66, 0, 0, 0, 0, 4, 1, 71
"/home/bibek/Projects/Rapid-Room/server/dist/controller/socialAuth.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/socialAuth.controller.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 1, 19
"/home/bibek/Projects/Rapid-Room/server/dist/controller/updatePassword.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/updatePassword.controller.js", "JavaScript", 0, 0, 72, 0, 0, 0, 0, 9, 1, 82
"/home/bibek/Projects/Rapid-Room/server/dist/controller/uploadImage.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/uploadImage.controller.js", "JavaScript", 0, 0, 54, 0, 0, 0, 0, 6, 1, 61
"/home/bibek/Projects/Rapid-Room/server/dist/controller/userLogin.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/userLogin.controller.js", "JavaScript", 0, 0, 60, 0, 0, 0, 0, 1, 1, 62
"/home/bibek/Projects/Rapid-Room/server/dist/controller/userLogout.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/userLogout.controller.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 1, 1, 12
"/home/bibek/Projects/Rapid-Room/server/dist/controller/userSignup.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/userSignup.controller.js", "JavaScript", 0, 0, 78, 0, 0, 0, 0, 9, 1, 88
"/home/bibek/Projects/Rapid-Room/server/dist/controller/verifyEmail.controller.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/controller/verifyEmail.controller.js", "JavaScript", 0, 0, 65, 0, 0, 0, 0, 7, 1, 73
"/home/bibek/Projects/Rapid-Room/server/dist/db/db.config.d.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"/home/bibek/Projects/Rapid-Room/server/dist/db/db.config.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 1, 6
"/home/bibek/Projects/Rapid-Room/server/dist/helper/SendEmail.helper.d.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"/home/bibek/Projects/Rapid-Room/server/dist/helper/SendEmail.helper.js", "JavaScript", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"/home/bibek/Projects/Rapid-Room/server/dist/index.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/home/bibek/Projects/Rapid-Room/server/dist/index.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 1, 8
"/home/bibek/Projects/Rapid-Room/server/dist/middleware/auth.middleware.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/middleware/auth.middleware.js", "JavaScript", 0, 0, 46, 0, 0, 0, 0, 1, 1, 48
"/home/bibek/Projects/Rapid-Room/server/dist/middleware/isAdmin.middleware.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/middleware/isAdmin.middleware.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"/home/bibek/Projects/Rapid-Room/server/dist/middleware/multer.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/middleware/multer.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 1, 14
"/home/bibek/Projects/Rapid-Room/server/dist/routes/HostDashboard.routes.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/routes/HostDashboard.routes.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"/home/bibek/Projects/Rapid-Room/server/dist/routes/Hotels.routes.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/routes/Hotels.routes.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 1, 21
"/home/bibek/Projects/Rapid-Room/server/dist/routes/admin.routes.d.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"/home/bibek/Projects/Rapid-Room/server/dist/routes/admin.routes.js", "JavaScript", 0, 0, 23, 0, 0, 0, 0, 2, 1, 26
"/home/bibek/Projects/Rapid-Room/server/dist/routes/emailVerification.route.d.ts", "TypeScript", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
